tic,reason,source,detail
115115136,eclipsing_binary,Prsa2022_ApJS258_16,TIC match
220388567,eclipsing_binary,Prsa2022_ApJS258_16,TIC match
240764987,eclipsing_binary,Prsa2022_ApJS258_16,TIC match
287174076,eclipsing_binary,Prsa2022_ApJS258_16,TIC match
101932654,variable_star,VSX_AAVSO,Gaia DR3 4985536434483429504|ROT
101949364,variable_star,VSX_AAVSO,Gaia DR3 4933114778088084992|ROT
111269697,variable_star,VSX_AAVSO,Gaia DR3 4958354273660863360|ROT
114953216,variable_star,VSX_AAVSO,2MASS J21010380-4114331|BY
139453344,variable_star,VSX_AAVSO,NSV 14155|
150032786,variable_star,VSX_AAVSO,Gaia DR3 5476480123018564096|ROT
159672838,variable_star,VSX_AAVSO,Gaia DR3 6775730961538808320|ROT
161112458,variable_star,VSX_AAVSO,Gaia DR3 6517181420741286656|ROT
175391698,variable_star,VSX_AAVSO,2MASS J23155156-3733306|BY
179985715,variable_star,VSX_AAVSO,Gaia DR3 4987729474846997248|ROT
183537557,variable_star,VSX_AAVSO,Gaia DR3 2310488450137251712|ROT
183675957,variable_star,VSX_AAVSO,Gaia DR3 2310596477154492800|ROT
197892635,variable_star,VSX_AAVSO,ASASSN-V J035224.31-555223.2|ROT
219255235,variable_star,VSX_AAVSO,Gaia DR3 4781103103658832896|ROT
220388567,variable_star,VSX_AAVSO,EI Tuc|EA
231020078,variable_star,VSX_AAVSO,Gaia DR3 4717919255651196160|ACV|roAm|roAp|SXARI
240764987,variable_star,VSX_AAVSO,ASAS J224034-1547.4|EA
257735550,variable_star,VSX_AAVSO,NSV 701|
262823544,variable_star,VSX_AAVSO,Gaia DR3 6499635036229007104|ROT
267320484,variable_star,VSX_AAVSO,2MASS J00310412-7201061|BY
287174076,variable_star,VSX_AAVSO,LX Cet|EW
316854882,variable_star,VSX_AAVSO,Gaia DR3 6458308001912689024|ROT
33493176,variable_star,VSX_AAVSO,Gaia DR3 5037453827357178752|ROT
382472618,variable_star,VSX_AAVSO,Gaia DR3 4977890293186248064|ROT
3836148,variable_star,VSX_AAVSO,Gaia DR3 2425798770027448704|ROT
408083407,variable_star,VSX_AAVSO,Gaia DR3 2471496534862078080|ROT
70722627,variable_star,VSX_AAVSO,Gaia DR3 2313034472390044544|ROT
70744320,variable_star,VSX_AAVSO,ASASSN-V J000307.11-301517.2|ROT
79403675,variable_star,VSX_AAVSO,NSV 25550|TTS/ROT
200769811,vetted_eclipse,M3_automated_vetting,secondary_eclipse(8.5sig)
425936552,vetted_eclipse,M3_automated_vetting,secondary_eclipse(24.9sig);odd_even(7.1sig)
